@relation SamplesByLHS

@attribute executorTerminationTimeoutMillis numeric
@attribute minSpareThreads numeric
@attribute processorCache numeric
@attribute keepAliveTimeout numeric
@attribute maxKeepAliveRequests numeric
@attribute socketBuffer numeric
@attribute asyncTimeout numeric
@attribute acceptCount numeric
@attribute acceptorThreadCount numeric
@attribute maxThreads numeric
@attribute connectionTimeout numeric
@attribute maxConnections numeric

@data
5000,10,200,20000,100,9000,30000,100,1,200,20000,8192
2508,10.891825,212,15542,79.864753,7443,22813,2794,1.282301,292,20641,5555
2563,10.028397,138,21234,130.80116,6054,22317,770,0.752244,177,16056,6227
2622,13.047972,279,27407,50.59634,8347,42733,9094,0.863415,236,10368,10201
2659,5.477001,209,16767,105.168799,11360,23846,3417,1.034466,145,19279,7707
2734,6.17646,264,14612,62.564023,9352,28120,6363,0.829405,253,26668,11251
2796,10.954323,152,18571,87.62855,12770,19214,4669,0.66969,224,13459,7582
2828,5.727033,146,10829,73.866383,11228,24497,654,1.240445,209,10847,4632
2879,14.921566,109,27087,128.251615,8064,20745,1374,1.432516,276,11162,10457
2929,6.779762,262,18044,90.869801,11568,25929,5192,0.502111,217,21779,9093
2991,12.343433,261,11713,74.077991,12917,32109,9281,0.967044,166,21526,5933
3028,8.062571,144,10596,76.409466,5384,15000,9132,0.622991,232,13261,4140
3076,9.179597,118,25855,137.704102,13201,44299,8139,1.174797,265,22831,10396
3129,10.200135,216,26526,68.91892,13481,22762,2880,0.65667,235,12515,9290
3168,7.365157,206,22931,94.765769,10802,41065,8477,0.601073,136,14691,7341
3213,8.590651,135,23299,75.734213,12126,26912,4509,0.899314,154,27053,6540
3299,9.939082,132,15154,106.187583,9546,35642,7561,0.747187,262,12004,8596
3326,11.831946,248,13646,108.068779,10007,24630,6712,0.796559,132,16962,9940
3365,11.004614,191,26325,100.319804,6003,32902,1044,1.498558,188,17056,9471
3413,6.843423,120,17094,93.405124,13112,15982,9881,0.995909,118,25333,4690
3461,7.230623,258,13356,148.333858,7306,32503,4944,0.921103,268,12602,9793
3515,9.755317,289,13821,134.299408,9905,36771,4704,1.023369,191,22769,11903
3585,5.827893,196,25679,142.497536,6620,42022,420,0.720906,247,23422,7238
3647,10.561761,267,23714,132.845033,7724,25179,5716,0.545513,172,15822,8334
3693,12.759322,188,18734,96.200987,10973,16604,2242,0.934611,110,13686,4970
3738,8.85912,177,12360,70.291317,7921,38651,7259,1.040697,103,19783,7122
3793,7.768033,193,20609,66.854598,6326,21841,3946,1.050512,245,16512,7941
3818,14.416114,296,15952,98.563351,7248,38202,8810,0.775634,289,26962,9387
3874,5.132361,143,19122,63.029851,13314,43389,2353,0.672793,187,29153,12147
3919,14.347176,222,11145,64.679134,12500,38749,813,0.706044,116,15611,5238
3983,5.381714,115,20312,136.464266,5814,27875,7877,0.803881,248,22505,8164
4011,12.985556,184,24527,125.310085,12320,26109,8501,1.472576,181,22099,4567
4080,9.832294,235,22535,78.801494,5207,39241,9745,1.332375,280,10467,6010
4136,6.077653,137,26854,57.981012,11305,27196,1203,1.465731,267,13804,8501
4194,12.226645,165,27630,65.187694,10565,29246,3218,0.736508,273,29350,8417
4200,7.945037,276,29422,110.655646,7635,30625,2478,0.905982,178,29840,5646
4257,11.786038,117,20046,103.095247,10285,34322,2576,1.23561,184,11948,6095
4330,8.485676,230,29799,83.703826,5721,28304,1809,1.487812,141,11362,10715
4391,6.409655,205,12708,123.99493,11904,34834,7912,0.514518,150,20994,8803
4449,8.710836,104,12812,88.49643,12200,43661,6052,1.418877,215,28085,11686
4460,8.679566,215,28004,77.747631,8705,28712,7647,0.57842,107,26100,6944
4518,12.13913,195,14106,99.124147,11686,27548,8329,0.768001,152,25461,6339
4597,8.955488,287,21162,51.836705,5297,33548,4353,0.91806,194,24397,7686
4621,13.194226,218,24663,140.986184,6534,36315,9415,1.358223,212,12829,12217
4671,10.768301,225,23521,54.812049,6406,20571,555,1.107798,163,11695,6626
4724,5.277671,292,19914,104.244998,9006,37743,4829,0.6336,135,21107,8051
4797,14.146307,173,15246,80.567017,11833,15551,5555,1.39146,128,15052,10958
4841,6.513334,126,28511,119.393155,7843,19887,1966,1.250979,149,23633,7142
4878,9.333224,102,13101,135.319245,7807,33889,1576,1.003459,146,14498,11477
4924,11.984943,125,10310,118.428396,10984,23460,213,1.290448,193,17409,4911
4988,12.58189,170,10727,139.416487,10141,21495,5644,1.135131,278,18491,11793
5049,11.313204,174,28722,97.383019,5582,40366,3128,1.070675,168,25678,6457
5089,13.33267,246,17533,115.338561,5571,44568,7141,1.098762,242,26543,12071
5109,9.643989,244,14486,113.203664,10440,16851,185,0.617861,218,13175,5023
5195,10.61054,182,19762,58.516496,12869,36917,9905,0.784249,211,16307,11133
5231,5.044068,221,24927,114.227588,4941,39345,4120,1.169485,138,28281,4504
5252,14.699842,253,17327,52.839963,10690,25493,4252,0.585881,108,29657,9147
5308,12.625878,254,11233,71.751539,10406,22109,6619,0.696594,256,23131,9697
5389,7.48069,233,19480,145.974108,8882,21137,8652,1.229172,165,19555,10556
5421,12.847816,129,29942,101.439304,11451,42301,5234,1.310812,170,24990,11624
5460,14.036013,100,21815,56.856852,4957,44731,7486,0.710233,270,24729,5754
5530,6.661523,239,11855,121.564047,9246,17435,8725,0.564803,123,12263,11404
5575,14.763215,240,17765,111.997773,11134,25529,3757,1.152626,238,21863,8765
5630,13.702672,163,22663,116.331508,5436,41998,7361,0.977385,227,22347,5707
5664,12.449445,169,26197,86.449657,8730,30914,5040,0.83917,157,18627,4802
5720,9.046709,280,12421,55.780171,9698,31840,3526,0.957017,174,11583,5397
5778,8.194449,199,23149,112.573806,13366,36183,6895,1.118654,220,27535,10836
5817,14.576071,186,16239,84.004496,6162,20260,2116,0.559856,161,17830,8957
5874,13.290003,200,19245,147.97021,4848,15666,6166,0.989925,251,20068,4197
5932,7.030323,130,14836,89.697292,7539,44053,3021,0.881115,204,18214,10628
5994,11.689898,236,23900,126.193657,11720,16342,6556,1.378307,286,20353,6776
6015,7.83574,268,26624,69.257352,6958,29075,4025,1.450909,284,29462,7398
6062,14.829473,291,29163,107.126899,12573,34196,6241,1.181814,198,18927,6644
6109,6.335785,161,27853,124.958415,8499,18971,8976,1.408319,259,14299,11191
6193,9.478667,282,14223,72.131949,6268,43135,3865,1.367112,115,17379,10758
6205,10.168984,211,21613,92.925567,9387,29951,2002,0.949878,297,23394,10094
6253,9.537588,271,12096,143.350607,8414,30446,331,0.847701,291,27703,6878
6343,12.065684,149,16501,109.915175,12997,24207,5881,1.421186,126,28639,10276
6393,13.608576,273,13457,61.775315,12653,18582,9575,0.859277,241,15451,7482
6402,7.660168,295,20851,131.144433,6777,33219,8285,1.322872,159,20562,9509
6475,5.903748,166,10195,82.961428,7060,40503,5395,0.529717,282,25822,7822
6531,5.539618,157,25451,53.666628,7175,17984,7751,1.274611,203,28541,5136
6579,13.571997,140,16183,95.501997,4679,19696,1467,1.263677,100,15276,8617
6634,7.176413,159,24323,138.038221,8216,31581,9372,0.683403,260,24118,5243
6691,11.454454,227,20537,149.636163,8184,18762,1773,0.644236,142,19099,7041
6714,13.415235,242,28208,117.273816,9504,26424,86,0.594836,131,26200,11985
6790,11.502373,110,27333,59.612241,8588,29650,6918,1.066574,197,24426,8264
6831,5.611486,202,22023,85.335143,4523,17301,2612,0.538529,206,19928,5825
6891,11.116436,150,25197,144.676606,12006,35359,7019,1.141113,298,21238,6223
6919,6.942478,274,11432,127.650119,10733,40186,973,0.811476,125,25100,11009
6960,6.29146,113,24199,91.809463,10209,23353,5984,1.216115,274,14129,8923
7006,9.2379,257,29303,60.408095,9879,34558,1191,1.305502,230,27848,9179
7067,7.57549,251,18379,67.578599,4765,37450,3622,1.382175,229,10686,5469
7124,11.201033,107,18886,122.627387,6671,39799,3354,1.127536,294,23933,11346
7173,14.27726,154,15651,120.732207,8923,31385,4446,1.443576,112,18153,4401
7205,8.317208,181,21596,133.241172,9157,41217,2977,1.343921,183,17671,8002
7297,10.381014,123,28889,129.401881,5126,37863,5465,1.203974,104,16732,11826
7326,8.270979,229,17917,81.697853,9725,30142,1627,1.012454,200,28949,10044
7370,10.45266,299,25258,141.036873,6913,18037,9671,0.876366,255,27296,4311
7444,13.818511,178,16827,146.821979,5934,35879,6463,1.088397,120,10047,9618
7464,13.946252,285,22280,102.440705,12355,41593,8073,1.199797,223,14956,9869
